fare_multiplier,predicted_sm_share,expected_fare_revenue_proxy,share_index_vs_base,fare_revenue_index_vs_base
0.6,0.6845085366759374,48.13036441281909,117.4317756918387,74.9816349180402
0.65,0.6724658991158146,50.90135145923687,115.3657849306921,79.29851765125669
0.7,0.6601804463372271,53.454711044494914,113.2581376806319,83.27636154610377
0.75,0.647676589708957,55.78825015060758,111.11302186661385,86.91175012992483
0.8,0.6349812956731776,57.901223276803776,108.93506375261974,90.20352199728838
0.85,0.622123871008326,59.794472105297494,106.72929110214311,93.15298839337729
0.9,0.6091356173126964,61.470515027961994,104.50107390266068,95.76407268636723
0.95,0.596049365110116,62.93357512031298,102.25604443850985,98.04335394771164
1.0,0.582898906742419,64.1895371652388,100.0,100.0
1.05,0.5697183622492505,65.2458319991553,97.73879409607594,101.6455872414181
1.1,0.5565415233022548,66.11125598702246,95.47822390207169,102.99381940835109
1.15,0.5434012218263663,66.7957409873784,93.22392194269348,104.06016920706347
1.2,0.5303287629683301,67.31009393693007,90.9812588141773,104.86147261610287
1.25,0.517353450256471,67.66572529278969,88.75526172243924,105.41550583018284
1.3,0.504502217891775,67.87438308027609,86.55055140028128,105.7405709368984
1.35,0.4917993736993108,67.94790542780106,84.37129800907918,105.85511039421789
1.4,0.4792664477061164,67.89800029420606,82.2211951613597,105.77736387072056
